asset,weight_mv_regime,weight_hrp,forecast_mu_period,forecast_vol_daily,forecast_mu_ann,cash_mv_regime,as_of,label,target_vol,regime_note
AAPL,0.22323280982884752,0.11047696709217579,0.013101809658110142,0.01579243130981922,0.1572217158973217,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
MSFT,3.221896669208822e-16,0.09279197218471574,0.008689512498676777,0.0151861272752285,0.10427414998412132,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
SPY,0.22323280982884752,0.07405454252341608,0.01129522081464529,0.009495226666331291,0.13554264977574348,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
QQQ,0.22323280982884758,0.04093622039647991,0.012468138709664345,0.012771070934832096,0.14961766451597214,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
GLD,0.22323280982884752,0.13596190871971078,0.015311479568481445,0.009918740950524807,0.18373775482177734,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
TLT,7.191038767472929e-17,0.25,-0.006124981213361025,0.009362360462546349,-0.0734997745603323,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
IWM,0.0,0.06432600800712915,0.005648577585816383,0.01356744859367609,0.0677829310297966,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
EFA,0.0,0.15036651806317272,0.0076218354515731335,0.009431691840291023,0.0914620254188776,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
BTC-USD,0.0,0.010668010508965445,0.006600219290703535,0.03285405784845352,0.07920263148844242,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
ETH-USD,0.0,0.006078307441610285,0.0019974103197455406,0.04352506250143051,0.023968923836946487,0.10706876068460947,2026-08-28,FULL-public,0.12,SPY SMA50=753.95 vs SMA200=709.10 risk-on on 2026-08-28.
